variable_name,official_label_description,position,valid_values_categories,special_codes,valid_skip,dont_know,refusal,not_stated,universe_applicability,analytical_role,proposed_treatment,official_note,source,source_reference
PUMFID,Record identification,1-5,Anonymous record identifier.,99996=Valid skip; 99997=Don't know; 99998=Refusal; 99999=Not stated,99996,99997,99998,99999,All respondents.,Record key / validation,Keep for QA only; exclude from aggregate reporting.,,Statistics Canada SGVP 2023 PUMF English data dictionary/codebook and English SAS layout files,Chapter 1/data/raw/GVP_DBP_2023/Codebook_Dictionaire de données/GVP_2023_PUMF_EN.pdf; Layout_MisEnPages/SAS/GVP_DBP_2023_lbe.SAS; GVP_DBP_2023_frq.SAS; GVP_DBP_2023_fmt.SAS; GVP_DBP_2023_pfe.SAS
WGHT_PER,Person weight,6-15,Numeric person survey weight.,99999.9996=Valid skip; 99999.9997=Don't know; 99999.9998=Refusal; 99999.9999=Not stated,99999.9996,99999.9997,99999.9998,99999.9999,All respondents.,Survey weight,Use for population-level estimates. Do not use sample percentages as Canadian percentages.,,Statistics Canada SGVP 2023 PUMF English data dictionary/codebook and English SAS layout files,Chapter 1/data/raw/GVP_DBP_2023/Codebook_Dictionaire de données/GVP_2023_PUMF_EN.pdf; Layout_MisEnPages/SAS/GVP_DBP_2023_lbe.SAS; GVP_DBP_2023_frq.SAS; GVP_DBP_2023_fmt.SAS; GVP_DBP_2023_pfe.SAS
FG1FGIV,Giving flag,875-875,1=Giver; 2=Non-giver,6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,6,7,8,9,All respondents.,All charitable donor flag,"Map 1 to charitable donor, 2 to non-donor. Treat documented special codes as non-analytic if present.",A giver is defined as a respondent with at least one 'yes' in FG1A_030 to FG1A_170.,Statistics Canada SGVP 2023 PUMF English data dictionary/codebook and English SAS layout files,Chapter 1/data/raw/GVP_DBP_2023/Codebook_Dictionaire de données/GVP_2023_PUMF_EN.pdf; Layout_MisEnPages/SAS/GVP_DBP_2023_lbe.SAS; GVP_DBP_2023_frq.SAS; GVP_DBP_2023_fmt.SAS; GVP_DBP_2023_pfe.SAS
GS1DATOT,Total amount of donations,1061-1072,Dollar amount. Codebook range among amount responses: 000000000.50 to 000138800.00; 000000000.00 = None.,000000000.00=None; 999999999.96=Valid skip; 999999999.97=Don't know; 999999999.98=Refusal; 999999999.99=Not stated,999999999.96,999999999.97,999999999.98,999999999.99,FG1FGIV = 1.,Overall charitable giving amount,Set analytical total donation amount only for charitable donors with valid non-sentinel values.,All 'other' donations are included in the total amount.,Statistics Canada SGVP 2023 PUMF English data dictionary/codebook and English SAS layout files,Chapter 1/data/raw/GVP_DBP_2023/Codebook_Dictionaire de données/GVP_2023_PUMF_EN.pdf; Layout_MisEnPages/SAS/GVP_DBP_2023_lbe.SAS; GVP_DBP_2023_frq.SAS; GVP_DBP_2023_fmt.SAS; GVP_DBP_2023_pfe.SAS
GS1DNTOT,Total number of financial donations,1059-1060,Numeric count of financial donations.,96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,96,97,98,99,FG1FGIV = 1.,Overall charitable giving frequency,Set analytical total donation count only for charitable donors with valid non-sentinel values.,"Derived count, including up to a maximum of 7 donations for each solicitation method.",Statistics Canada SGVP 2023 PUMF English data dictionary/codebook and English SAS layout files,Chapter 1/data/raw/GVP_DBP_2023/Codebook_Dictionaire de données/GVP_2023_PUMF_EN.pdf; Layout_MisEnPages/SAS/GVP_DBP_2023_lbe.SAS; GVP_DBP_2023_frq.SAS; GVP_DBP_2023_fmt.SAS; GVP_DBP_2023_pfe.SAS
GS1DNX05,Number of donations (15) - Health,1249-1250,00 = No donations; 01-10 = Number.,0=No donations; 96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,96,97,98,99,FG1FGIV = 1.,Health ICNPO donation frequency,"For donors, keep 0 as a legitimate no-health-donation value and positive values as Health donation counts. Valid skip applies to non-givers.",Derived ICNPO 15-category Health count based on 2-digit ICNPO codes.,Statistics Canada SGVP 2023 PUMF English data dictionary/codebook and English SAS layout files,Chapter 1/data/raw/GVP_DBP_2023/Codebook_Dictionaire de données/GVP_2023_PUMF_EN.pdf; Layout_MisEnPages/SAS/GVP_DBP_2023_lbe.SAS; GVP_DBP_2023_frq.SAS; GVP_DBP_2023_fmt.SAS; GVP_DBP_2023_pfe.SAS
GS1DAX05,Amount of donations (15) - Health,1319-1330,000000000.00 = None; amount responses in codebook: 000000000.50 to 000112500.00.,000000000.00=None; 999999999.96=Valid skip; 999999999.97=Don't know; 999999999.98=Refusal; 999999999.99=Not stated,999999999.96,999999999.97,999999999.98,999999999.99,FG1FGIV = 1.,Health ICNPO donation amount,"For donors, keep 0 as a legitimate no-health-donation value and positive amounts as Health dollars. Valid skip applies to non-givers.",Derived ICNPO 15-category Health amount based on 2-digit ICNPO codes.,Statistics Canada SGVP 2023 PUMF English data dictionary/codebook and English SAS layout files,Chapter 1/data/raw/GVP_DBP_2023/Codebook_Dictionaire de données/GVP_2023_PUMF_EN.pdf; Layout_MisEnPages/SAS/GVP_DBP_2023_lbe.SAS; GVP_DBP_2023_frq.SAS; GVP_DBP_2023_fmt.SAS; GVP_DBP_2023_pfe.SAS
GS1DNX06,Number of donations (15) - Hospitals,1251-1252,00 = No donations; 01-09 = Number.,0=No donations; 96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,96,97,98,99,FG1FGIV = 1.,Hospitals ICNPO donation frequency,Analyze separately from Health. Use only in explicitly labelled Hospital or broader health-related derived metrics.,Hospitals is a separate ICNPO category from Health.,Statistics Canada SGVP 2023 PUMF English data dictionary/codebook and English SAS layout files,Chapter 1/data/raw/GVP_DBP_2023/Codebook_Dictionaire de données/GVP_2023_PUMF_EN.pdf; Layout_MisEnPages/SAS/GVP_DBP_2023_lbe.SAS; GVP_DBP_2023_frq.SAS; GVP_DBP_2023_fmt.SAS; GVP_DBP_2023_pfe.SAS
GS1DAX06,Amount of donations (15) - Hospitals,1331-1342,000000000.00 = None; amount responses in codebook: 000000001.00 to 000052000.00.,000000000.00=None; 999999999.96=Valid skip; 999999999.97=Don't know; 999999999.98=Refusal; 999999999.99=Not stated,999999999.96,999999999.97,999999999.98,999999999.99,FG1FGIV = 1.,Hospitals ICNPO donation amount,Analyze separately from Health. Use only in explicitly labelled Hospital or broader health-related derived metrics.,Hospitals is a separate ICNPO category from Health.,Statistics Canada SGVP 2023 PUMF English data dictionary/codebook and English SAS layout files,Chapter 1/data/raw/GVP_DBP_2023/Codebook_Dictionaire de données/GVP_2023_PUMF_EN.pdf; Layout_MisEnPages/SAS/GVP_DBP_2023_lbe.SAS; GVP_DBP_2023_frq.SAS; GVP_DBP_2023_fmt.SAS; GVP_DBP_2023_pfe.SAS
AGEGR10,Age group of respondent (groups of 10),16-17,1=15 to 24 years; 2=25 to 34 years; 3=35 to 44 years; 4=45 to 54 years; 5=55 to 64 years; 6=65 to 74 years; 7=75 years and over,96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,96,97,98,99,All respondents.,Demographic segment,Use labelled valid groups; exclude documented special codes from segment denominators if present.,,Statistics Canada SGVP 2023 PUMF English data dictionary/codebook and English SAS layout files,Chapter 1/data/raw/GVP_DBP_2023/Codebook_Dictionaire de données/GVP_2023_PUMF_EN.pdf; Layout_MisEnPages/SAS/GVP_DBP_2023_lbe.SAS; GVP_DBP_2023_frq.SAS; GVP_DBP_2023_fmt.SAS; GVP_DBP_2023_pfe.SAS
GENDER2,Gender of respondent after distribution of non-binary persons,18-18,1=Man+; 2=Woman+,6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,6,7,8,9,All respondents.,Demographic segment,Use labelled valid groups.,,Statistics Canada SGVP 2023 PUMF English data dictionary/codebook and English SAS layout files,Chapter 1/data/raw/GVP_DBP_2023/Codebook_Dictionaire de données/GVP_2023_PUMF_EN.pdf; Layout_MisEnPages/SAS/GVP_DBP_2023_lbe.SAS; GVP_DBP_2023_frq.SAS; GVP_DBP_2023_fmt.SAS; GVP_DBP_2023_pfe.SAS
PRV,Province of residence,34-35,10=Newfoundland and Labrador; 11=Prince Edward Island; 12=Nova Scotia; 13=New Brunswick; 24=Quebec; 35=Ontario; 46=Manitoba; 47=Saskatchewan; 48=Alberta; 59=British Columbia,96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,96,97,98,99,All respondents.,Geographic segment,Use sample counts with weighted estimates; label province comparisons descriptive.,,Statistics Canada SGVP 2023 PUMF English data dictionary/codebook and English SAS layout files,Chapter 1/data/raw/GVP_DBP_2023/Codebook_Dictionaire de données/GVP_2023_PUMF_EN.pdf; Layout_MisEnPages/SAS/GVP_DBP_2023_lbe.SAS; GVP_DBP_2023_frq.SAS; GVP_DBP_2023_fmt.SAS; GVP_DBP_2023_pfe.SAS
INCG2,Income - Personal income group (before tax),1612-1613,"1=Less than $25,000; 2=$25,000 to $49,999; 3=$50,000 to $74,999; 4=$75,000 to $99,999; 5=$100,000 to $124,999; 6=$125,000 and more",96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,96,97,98,99,All respondents.,Socioeconomic segment,Use labelled valid groups.,,Statistics Canada SGVP 2023 PUMF English data dictionary/codebook and English SAS layout files,Chapter 1/data/raw/GVP_DBP_2023/Codebook_Dictionaire de données/GVP_2023_PUMF_EN.pdf; Layout_MisEnPages/SAS/GVP_DBP_2023_lbe.SAS; GVP_DBP_2023_frq.SAS; GVP_DBP_2023_fmt.SAS; GVP_DBP_2023_pfe.SAS
FAMINCG2,Family income - Family income group (before tax),1615-1616,"1=Less than $25,000; 2=$25,000 to $49,999; 3=$50,000 to $74,999; 4=$75,000 to $99,999; 5=$100,000 to $124,999; 6=$125,000 and more",96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,96,97,98,99,All respondents.,Socioeconomic segment,Use labelled valid groups.,,Statistics Canada SGVP 2023 PUMF English data dictionary/codebook and English SAS layout files,Chapter 1/data/raw/GVP_DBP_2023/Codebook_Dictionaire de données/GVP_2023_PUMF_EN.pdf; Layout_MisEnPages/SAS/GVP_DBP_2023_lbe.SAS; GVP_DBP_2023_frq.SAS; GVP_DBP_2023_fmt.SAS; GVP_DBP_2023_pfe.SAS
