variable_name,official_label_description,position,format,valid_values_categories,universe_applicability,analytical_role,proposed_treatment,source_reference
PUMFID,Record identification,1-5,M00345F,99996=Valid skip; 99997=Don't know; 99998=Refusal; 99999=Not stated,Reasons for giving variables apply to charitable donors; documented valid skips and nonresponse codes are excluded from valid denominators.,"Baseline, weight, donor definition, or segment control","Use 1=Yes and 2=No valid denominator for motivation rates; exclude valid skip, don't know, refusal, and not stated.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
WGHT_PER,Person weight,6-15,M00003F,99999.9996=Valid skip; 99999.9997=Don't know; 99999.9998=Refusal; 99999.9999=Not stated,Reasons for giving variables apply to charitable donors; documented valid skips and nonresponse codes are excluded from valid denominators.,"Baseline, weight, donor definition, or segment control","Use 1=Yes and 2=No valid denominator for motivation rates; exclude valid skip, don't know, refusal, and not stated.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
FG1FGIV,Giving flag,875-875,D00036F,1=Giver; 2=Non-giver; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Reasons for giving variables apply to charitable donors; documented valid skips and nonresponse codes are excluded from valid denominators.,"Baseline, weight, donor definition, or segment control","Use 1=Yes and 2=No valid denominator for motivation rates; exclude valid skip, don't know, refusal, and not stated.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
GS1DATOT,Total amount of donations,1061-1072,M00022F,.00=None; 999999999.96=Valid skip; 999999999.97=Don't know; 999999999.98=Refusal; 999999999.99=Not stated,Reasons for giving variables apply to charitable donors; documented valid skips and nonresponse codes are excluded from valid denominators.,"Baseline, weight, donor definition, or segment control","Use 1=Yes and 2=No valid denominator for motivation rates; exclude valid skip, don't know, refusal, and not stated.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
GS1DNTOT,Total number of financial donations,1059-1060,M00316F,96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,Reasons for giving variables apply to charitable donors; documented valid skips and nonresponse codes are excluded from valid denominators.,"Baseline, weight, donor definition, or segment control","Use 1=Yes and 2=No valid denominator for motivation rates; exclude valid skip, don't know, refusal, and not stated.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
GS1DAX05,Amount of donations (15) - Health,1319-1330,M00022F,.00=None; 999999999.96=Valid skip; 999999999.97=Don't know; 999999999.98=Refusal; 999999999.99=Not stated,Reasons for giving variables apply to charitable donors; documented valid skips and nonresponse codes are excluded from valid denominators.,"Baseline, weight, donor definition, or segment control","Use 1=Yes and 2=No valid denominator for motivation rates; exclude valid skip, don't know, refusal, and not stated.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
GS1DNX05,Number of donations (15) - Health,1249-1250,M00340F,0=No donations; 96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,Reasons for giving variables apply to charitable donors; documented valid skips and nonresponse codes are excluded from valid denominators.,"Baseline, weight, donor definition, or segment control","Use 1=Yes and 2=No valid denominator for motivation rates; exclude valid skip, don't know, refusal, and not stated.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
AGEGR10,Age group of respondent (groups of 10),16-17,D00052F,1=15 to 24 years; 2=25 to 34 years; 3=35 to 44 years; 4=45 to 54 years; 5=55 to 64 years; 6=65 to 74 years; 7=75 years and over; 96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated,Reasons for giving variables apply to charitable donors; documented valid skips and nonresponse codes are excluded from valid denominators.,"Baseline, weight, donor definition, or segment control","Use 1=Yes and 2=No valid denominator for motivation rates; exclude valid skip, don't know, refusal, and not stated.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
GENDER2,Gender of respondent after distribution of non-binary persons,18-18,D00185F,1=Man+; 2=Woman+; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Reasons for giving variables apply to charitable donors; documented valid skips and nonresponse codes are excluded from valid denominators.,"Baseline, weight, donor definition, or segment control","Use 1=Yes and 2=No valid denominator for motivation rates; exclude valid skip, don't know, refusal, and not stated.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
INCG2,Income - Personal income group (before tax),1612-1613,D00169F,"1=Less than $25,000; 2=$25,000 to $49,999; 3=$50,000 to $74,999; 4=$75,000 to $99,999; 5=$100,000 to $124,999; 6=$125,000 and more; 96=Valid skip; 97=Don't know; 98=Refusal; 99=Not stated",Reasons for giving variables apply to charitable donors; documented valid skips and nonresponse codes are excluded from valid denominators.,"Baseline, weight, donor definition, or segment control","Use 1=Yes and 2=No valid denominator for motivation rates; exclude valid skip, don't know, refusal, and not stated.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
ED4CAT,Education - Highest degree (4 categories),1528-1528,D00008F,1=Less than high school; 2=Graduated from high school; 3=Post-secondary diploma; 4=University diploma; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Reasons for giving variables apply to charitable donors; documented valid skips and nonresponse codes are excluded from valid denominators.,"Baseline, weight, donor definition, or segment control","Use 1=Yes and 2=No valid denominator for motivation rates; exclude valid skip, don't know, refusal, and not stated.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
RG_010,Reasons for giving - Personally affected,1466-1466,YESN01F,1=Yes; 2=No; 6=Valid skip; 7=Don't know; 8=Refusal; 9=Not stated,Reasons for giving variables apply to charitable donors; documented valid skips and nonresponse codes are excluded from valid denominators.,Motivation measure,"Use 1=Yes and 2=No valid denominator for motivation rates; exclude valid skip, don't know, refusal, and not stated.","Official SGVP 2023 English codebook and SAS layout files: lbe, frq, fmt, pfe."
