check,status,details
manifest_table_count,pass,25
exists_page1_canadian_donor_overall.csv,pass,
exists_page1_canadian_donor_segments.csv,pass,
exists_page1_donation_amount_bands.csv,pass,
exists_page1_donation_frequency.csv,pass,
exists_page2_health_donor_overview.csv,pass,
exists_page2_health_donor_group_comparison.csv,pass,
exists_page2_health_profile_age.csv,pass,
exists_page2_health_profile_income.csv,pass,
exists_page2_health_profile_education.csv,pass,
exists_page2_health_profile_province.csv,pass,
exists_page2_health_donation_distribution.csv,pass,
exists_page2_health_donor_volunteering.csv,pass,
exists_page3_giving_channel_summary.csv,pass,
exists_page3_channel_by_health_value.csv,pass,
exists_page3_giving_behaviour_summary.csv,pass,
exists_page4_motivation_summary.csv,pass,
exists_page4_motivation_by_age.csv,pass,
exists_page4_motivation_by_health_value.csv,pass,
exists_page5_barrier_summary.csv,pass,
exists_page5_barrier_category_summary.csv,pass,
exists_page5_barriers_by_income.csv,pass,
exists_page6_priority_audiences.csv,pass,
exists_page6_evidence_table.csv,pass,
exists_page7_bonus_model_metrics.csv,pass,
exists_page7_bonus_top_model_coefficients.csv,pass,
doc_exists_POWER_BI_BUILD_GUIDE.md,pass,
doc_exists_POWER_BI_DATA_MODEL.md,pass,
doc_exists_DAX_MEASURES.md,pass,
doc_exists_POWER_BI_HANDOFF_AUDIT.csv,pass,
page1_canadian_donor_overall.csv_numeric_weighted_values,pass,
page2_health_donor_overview.csv_numeric_weighted_values,pass,
page1_canadian_donor_segments.csv_sort_order_present,pass,
page1_donation_amount_bands.csv_sort_order_present,pass,
page2_health_profile_age.csv_sort_order_present,pass,
page2_health_profile_income.csv_sort_order_present,pass,
page2_health_profile_education.csv_sort_order_present,pass,
page2_health_profile_province.csv_sort_order_present,pass,
page3_giving_channel_summary.csv_sort_order_present,pass,
page4_motivation_summary.csv_sort_order_present,pass,
page5_barrier_summary.csv_sort_order_present,pass,
p3_channel_denominators_positive,pass,
p4_motivation_denominators_positive,pass,
p5_core_donor_denominators_positive,pass,
donor_weighted_total_consistency,pass,
health_donor_definition_note_present,pass,
handoff_audit_no_issues,pass,
