segment_variable,segment,sample_n,weighted_population,sample_donor_rate_pct,weighted_donor_rate_pct,donor_sample_n,weighted_donors,weighted_mean_donation,weighted_median_donation,weighted_mean_frequency,weighted_median_frequency,sort_order
AGEGR10,15 to 24 years,2642,4780472,32.8,31.1,867,1484748,193.31,50.0,1.96,1.0,1
AGEGR10,25 to 34 years,3202,5596013,51.2,48.8,1639,2729965,490.94,100.0,2.32,2.0,2
AGEGR10,35 to 44 years,4309,5402303,59.9,55.1,2581,2979177,685.8,150.0,2.86,2.0,3
AGEGR10,45 to 54 years,4204,4765959,62.9,58.6,2644,2793874,816.98,160.0,3.13,2.0,4
AGEGR10,55 to 64 years,4877,5101313,64.2,59.7,3131,3047565,901.51,200.0,3.43,3.0,5
AGEGR10,65 to 74 years,4644,4266030,67.0,61.3,3111,2615425,950.75,200.0,3.69,3.0,6
AGEGR10,75 years and over,2800,3126583,70.0,66.6,1961,2082320,1037.62,250.0,3.98,3.0,7
ED4CAT,Less than high school,2703,4046313,41.5,38.1,1121,1539886,348.77,80.0,2.54,2.0,1
ED4CAT,Graduated from high school,5562,8794220,52.0,47.2,2895,4150740,495.34,110.0,2.84,2.0,2
ED4CAT,Post-secondary diploma,7954,9987736,61.8,56.8,4919,5670198,612.34,140.0,3.1,2.0,3
ED4CAT,University diploma,8731,8342706,70.3,66.0,6135,5507511,1117.79,230.0,3.35,3.0,4
FAMINCG2,"Less than $25,000",1966,2868019,43.9,40.8,864,1170353,384.23,80.0,2.33,2.0,1
FAMINCG2,"$25,000 to $49,999",3732,4868282,55.0,50.7,2051,2469274,484.05,120.0,2.91,2.0,2
FAMINCG2,"$50,000 to $74,999",3944,4904644,58.7,51.8,2315,2538730,555.02,140.0,3.13,2.0,3
FAMINCG2,"$75,000 to $99,999",4104,4513310,61.3,55.3,2516,2496741,698.94,150.0,3.17,2.0,4
FAMINCG2,"$100,000 to $124,999",3067,3709531,61.2,54.7,1878,2028779,766.0,150.0,3.1,2.0,5
FAMINCG2,"$125,000 and more",9865,12174887,64.0,57.7,6310,7029196,995.07,180.0,3.24,2.0,6
GENDER2,Man+,12478,16392947,55.8,49.4,6964,8105369,813.27,150.0,2.93,2.0,1
GENDER2,Woman+,14200,16645726,63.2,57.8,8970,9627704,701.7,150.0,3.24,2.0,2
INCG2,"Less than $25,000",7102,10241036,46.4,41.5,3298,4247981,427.71,100.0,2.62,2.0,1
INCG2,"$25,000 to $49,999",6580,8489082,59.1,54.1,3890,4590075,542.25,130.0,3.07,2.0,2
INCG2,"$50,000 to $74,999",6009,6721236,63.6,57.4,3819,3860846,665.58,150.0,3.16,2.0,3
INCG2,"$75,000 to $99,999",3100,3406055,69.0,63.1,2138,2150578,921.78,180.0,3.41,3.0,4
INCG2,"$100,000 to $124,999",1800,1988125,68.3,64.9,1230,1290051,1039.94,230.0,3.22,2.0,5
INCG2,"$125,000 and more",2087,2193140,74.7,72.7,1559,1593542,1975.53,400.0,3.74,3.0,6
PRV,Newfoundland and Labrador,1067,458642,65.8,60.0,702,275191,431.61,140.0,3.8,3.0,1
PRV,Prince Edward Island,1279,147318,64.2,54.8,821,80795,515.34,140.0,3.41,3.0,2
PRV,Nova Scotia,1407,883042,62.1,55.0,874,485274,638.52,130.0,3.38,3.0,3
PRV,New Brunswick,1279,697378,63.1,55.1,807,384469,509.41,140.0,3.29,3.0,4
PRV,Quebec,4726,7339053,58.5,52.4,2764,3847155,337.25,100.0,2.87,2.0,5
PRV,Ontario,8465,13039585,59.6,54.6,5045,7118235,946.15,180.0,3.19,2.0,6
PRV,Manitoba,1447,1107320,60.1,53.6,869,593872,1224.22,200.0,3.17,2.0,7
PRV,Saskatchewan,1329,936981,59.6,54.3,792,509114,699.51,200.0,3.38,3.0,8
PRV,Alberta,2598,3842971,59.7,55.0,1552,2113568,794.47,200.0,3.06,2.0,9
PRV,British Columbia,3081,4586383,55.4,50.7,1708,2325400,811.39,180.0,2.94,2.0,10
