segment_variable,segment_code,segment_label,sort_order,sample_n,weighted_population,sample_charitable_donor_n,weighted_charitable_donors,weighted_charitable_donor_rate_pct,sample_health_donor_n,weighted_health_donors,weighted_health_donor_rate_population_pct,weighted_health_donor_rate_among_donors_pct,weighted_health_donor_composition_pct,weighted_mean_health_donation,weighted_median_health_donation,weighted_mean_total_giving_health_donors,weighted_median_total_giving_health_donors,weighted_mean_total_giving_nonhealth_donors,weighted_median_total_giving_nonhealth_donors,reliability_note
PRV,10,Newfoundland and Labrador,1,1067,458642,702,275191,60.0,329,118098,25.7,42.9,1.7,121.75,50.0,525.86,190.0,360.76,100.0,"Descriptive province estimate; sample counts are shown, and no bootstrap confidence intervals are applied in Chapter 2."
PRV,11,Prince Edward Island,2,1279,147318,821,80795,54.8,388,34977,23.7,43.3,0.5,122.05,50.0,636.57,220.0,422.81,100.0,"Descriptive province estimate; sample counts are shown, and no bootstrap confidence intervals are applied in Chapter 2."
PRV,12,Nova Scotia,3,1407,883042,874,485274,55.0,385,185801,21.0,38.3,2.7,116.94,50.0,887.23,250.0,484.22,100.0,"Descriptive province estimate; sample counts are shown, and no bootstrap confidence intervals are applied in Chapter 2."
PRV,13,New Brunswick,4,1279,697378,807,384469,55.1,370,152607,21.9,39.7,2.2,121.71,50.0,587.31,230.0,458.13,90.0,"Descriptive province estimate; sample counts are shown, and no bootstrap confidence intervals are applied in Chapter 2."
PRV,24,Quebec,5,4726,7339053,2764,3847155,52.4,1016,1440592,19.6,37.4,21.2,123.62,50.0,417.3,130.0,289.33,70.0,"Descriptive province estimate; sample counts are shown, and no bootstrap confidence intervals are applied in Chapter 2."
PRV,35,Ontario,6,8465,13039585,5045,7118235,54.6,1989,2815252,21.6,39.5,41.4,398.95,90.0,1239.19,280.0,754.43,120.0,"Descriptive province estimate; sample counts are shown, and no bootstrap confidence intervals are applied in Chapter 2."
PRV,46,Manitoba,7,1447,1107320,869,593872,53.6,385,231447,20.9,39.0,3.4,177.06,60.0,1264.42,270.0,1198.55,180.0,"Descriptive province estimate; sample counts are shown, and no bootstrap confidence intervals are applied in Chapter 2."
PRV,47,Saskatchewan,8,1329,936981,792,509114,54.3,348,200295,21.4,39.3,2.9,147.43,60.0,801.95,300.0,633.07,140.0,"Descriptive province estimate; sample counts are shown, and no bootstrap confidence intervals are applied in Chapter 2."
PRV,48,Alberta,9,2598,3842971,1552,2113568,55.0,583,825963,21.5,39.1,12.2,190.43,70.0,866.56,290.0,748.22,140.0,"Descriptive province estimate; sample counts are shown, and no bootstrap confidence intervals are applied in Chapter 2."
PRV,59,British Columbia,10,3081,4586383,1708,2325400,50.7,606,792239,17.3,34.1,11.7,259.0,80.0,981.57,280.0,723.45,130.0,"Descriptive province estimate; sample counts are shown, and no bootstrap confidence intervals are applied in Chapter 2."
