chapter,comparison_group,channel_key,channel_label,sort_order,sample_donor_n,weighted_donors,valid_channel_denominator_weighted,sample_channel_user_n,weighted_channel_users,weighted_channel_use_rate_pct,weighted_channel_donation_dollars,weighted_mean_channel_donation_among_users,weighted_median_channel_donation_among_users,weighted_mean_channel_frequency_among_users,weighted_median_channel_frequency_among_users,health_vs_nonhealth_rate_gap_pct_points
Chapter 3,Health donors,mail,Mail,1,6399,6797272,6797272,2358,2211449,32.5,756441379,342.06,100.0,2.01,1.0,19.2
Chapter 3,Non-Health donors,mail,Mail,1,9535,10935802,10935802,1479,1450510,13.3,438640765,302.4,100.0,1.37,1.0,19.2
Chapter 3,All charitable donors,mail,Mail,1,15934,17733073,17733073,3837,3661959,20.7,1195082144,326.35,100.0,1.76,1.0,19.2
Chapter 3,Health donors,telephone,Telephone,2,6399,6797272,6797272,803,682625,10.0,102028612,149.47,50.0,1.17,1.0,5.5
Chapter 3,Non-Health donors,telephone,Telephone,2,9535,10935802,10935802,566,494204,4.5,91037093,184.21,80.0,1.12,1.0,5.5
Chapter 3,All charitable donors,telephone,Telephone,2,15934,17733073,17733073,1369,1176830,6.6,193065705,164.06,60.0,1.15,1.0,5.5
Chapter 3,Health donors,television,Television,3,6399,6797272,6797272,651,610461,9.0,71664336,117.39,50.0,1.15,1.0,4.4
Chapter 3,Non-Health donors,television,Television,3,9535,10935802,10935802,478,502390,4.6,91997613,183.12,50.0,1.14,1.0,4.4
Chapter 3,All charitable donors,television,Television,3,15934,17733073,17733073,1129,1112852,6.3,163661949,147.07,50.0,1.15,1.0,4.4
Chapter 3,Health donors,online,Online,4,6399,6797272,6797272,1895,1979372,29.1,572893543,289.43,100.0,1.36,1.0,11.3
Chapter 3,Non-Health donors,online,Online,4,9535,10935802,10935802,1713,1947849,17.8,517420197,265.64,80.0,1.21,1.0,11.3
Chapter 3,All charitable donors,online,Online,4,15934,17733073,17733073,3608,3927222,22.1,1090313740,277.63,100.0,1.29,1.0,11.3
Chapter 3,Health donors,own_initiative,On own initiative,5,6399,6797272,6797272,2123,2178363,32.0,2203672208,1011.62,100.0,1.52,1.0,8.899999999999999
Chapter 3,Non-Health donors,own_initiative,On own initiative,5,9535,10935802,10935802,2356,2530078,23.1,2144496048,847.6,120.0,1.29,1.0,8.899999999999999
Chapter 3,All charitable donors,own_initiative,On own initiative,5,15934,17733073,17733073,4479,4708441,26.6,4348168256,923.48,100.0,1.39,1.0,8.899999999999999
Chapter 3,Health donors,charity_event,Charity event,6,6399,6797272,6797272,1560,1503344,22.1,252278241,167.81,70.0,1.12,1.0,10.8
Chapter 3,Non-Health donors,charity_event,Charity event,6,9535,10935802,10935802,1252,1236129,11.3,216594703,175.22,50.0,1.1,1.0,10.8
Chapter 3,All charitable donors,charity_event,Charity event,6,15934,17733073,17733073,2812,2739473,15.4,468872944,171.15,60.0,1.11,1.0,10.8
Chapter 3,Health donors,in_memory,In memory of someone,7,6399,6797272,6797272,2917,2858653,42.1,495237870,173.24,50.0,1.2,1.0,30.8
Chapter 3,Non-Health donors,in_memory,In memory of someone,7,9535,10935802,10935802,1355,1232521,11.3,256703673,208.28,50.0,1.08,1.0,30.8
Chapter 3,All charitable donors,in_memory,In memory of someone,7,15934,17733073,17733073,4272,4091175,23.1,751941543,183.8,50.0,1.16,1.0,30.8
Chapter 3,Health donors,work,Work,8,6399,6797272,6797272,1770,1800080,26.5,177185258,98.43,40.0,1.11,1.0,11.0
