evidence_theme,source_chapter,metric,value,interpretation
Segment size,Chapter 2,Weighted Health donor population,6797272,Health donors are a large existing market.
Segment size,Chapter 2,Health donor rate among population,20.6%,Health giving reaches roughly one in five Canadians.
Segment size,Chapter 2,Health donors among charitable donors,38.3%,Health giving is common but not universal among donors.
High participation,Chapter 2,65-74 Health donor rate among donors,49.4,Older donors have high Health participation among donors.
High participation,Chapter 2,75+ Health donor rate among population,32.2,Oldest age group has the highest population Health donor rate.
High value,Chapter 2,$125k+ Health donor rate among donors,49.0,Highest personal income group has strong Health participation.
Dollar concentration,Chapter 2,"$5,000 and over dollar share",39.4,Large gifts carry disproportionate dollar value.
Engagement,Chapter 2,Health donor volunteer rate,44.3,Health donors are more volunteer-engaged.
Engagement,Chapter 2,Non-Health donor volunteer rate,37.9,Volunteer gap provides a comparison baseline.
Channel,Chapter 3,In-memory channel use among Health donors,42.1,Tribute/memorial giving is a major Health donor behaviour.
Channel,Chapter 3,Sponsorship channel use among Health donors,35.4,Peer/social fundraising appears important.
Channel,Chapter 3,Mail channel use among Health donors,32.5,Traditional direct response remains material.
Channel,Chapter 3,Online channel use among Health donors,29.1,Digital giving is substantial but not dominant.
Motivation,Chapter 4,Belief in the cause,86.5,Message theme supported by Health donor motivations.
Motivation,Chapter 4,Compassion,85.7,Message theme supported by Health donor motivations.
Motivation,Chapter 4,Personally affected,79.5,Message theme supported by Health donor motivations.
Motivation,Chapter 4,Community contribution,74.6,Message theme supported by Health donor motivations.
Barrier,Chapter 5,Charity fraud,75.0,Trust concerns need transparent handling.
Barrier,Chapter 5,Could not afford larger donation,65.9,Financial limits constrain upgrade asks.
Barrier,Chapter 5,Already gave enough,74.9,Retention and stewardship may matter as much as upgrade pressure.
