powerbi_file,source_file,dashboard_page,table_grain,rows,columns,sha256
page1_canadian_donor_overall.csv,Chapter 1/outputs/chapter1/chapter1_overall_summary.csv,Page 1,Dashboard KPI table; metric rows; normalized numeric KPI columns added for Power BI typing,7,7,65f55bbfac98cc08c935ff3bc1f33ee5991313ef4bae436edaa57af6ba6edb64
page1_canadian_donor_segments.csv,Chapter 1/outputs/chapter1/chapter1_segment_summary_powerbi.csv,Page 1,Segment-variable by category,35,13,b10a1ffc2bd848d7d54f5822854984f12d90c61729619c8096b948c667a0934e
page1_donation_amount_bands.csv,Chapter 1/outputs/chapter1/chapter1_donation_amount_bands_powerbi.csv,Page 1,Donation amount band among donors,7,7,b45ad3d0235b027389eb4ec0a7770fb928e94aea0fca9c808d21df9ba4dd9e57
page1_donation_frequency.csv,Chapter 1/outputs/chapter1/chapter1_donation_frequency_powerbi.csv,Page 1,Donation count among donors,24,4,61e451f9f7029427a487b2c31cdf0ae0d00647cef582d66f3f1a31e688823457
page2_health_donor_overview.csv,Chapter 2/data/powerbi/health_donor_overview.csv,Page 2,Dashboard KPI table; metric rows; normalized numeric KPI columns added for Power BI typing,13,7,26780bff88753d6c28af89c1af1b0a552422c09ea1da58931765ce453d488b75
page2_health_donor_group_comparison.csv,Chapter 2/data/powerbi/health_donor_group_comparison.csv,Page 2,Comparison group summary,5,19,8716e07390a0db0015fbb55000a2be86ab2055c8604cd066b376e247aa890861
page2_health_profile_age.csv,Chapter 2/data/powerbi/health_donor_profile_age.csv,Page 2,Age category,7,20,d52e222eebe3a8a529369ee48ea4241d0cc4c50186f316f5272252040448cfc1
page2_health_profile_income.csv,Chapter 2/data/powerbi/health_donor_profile_personal_income.csv,Page 2,Personal income category,6,20,3ecef7f0575a8e900bc9cafff590eefef1f41e3c45f1a307065d29175cd34c32
page2_health_profile_education.csv,Chapter 2/data/powerbi/health_donor_profile_education.csv,Page 2,Education category,4,20,034227a7291770a38d7d0ea34020d182cfbabdfc1f050d61fcdcd07ef871f7e8
page2_health_profile_province.csv,Chapter 2/data/powerbi/health_donor_profile_province.csv,Page 2,Province category,10,21,f29180ef18e82cd7b752d1c9ef74277b151e9923a3a4bc1235e37863f6202cbf
page2_health_donation_distribution.csv,Chapter 2/data/powerbi/health_donation_distribution.csv,Page 2,Health donation amount band,7,7,dd6178447408962aca26da16d5f405b966eae12da91257f069a87568982ad9e6
page2_health_donor_volunteering.csv,Chapter 2/data/powerbi/health_donor_volunteering.csv,Page 2,Comparison group volunteering summary,4,18,8dbc345ab97f27db0683ae222687159009cd9dce6ef4674cac7ad4180bca5167
page3_giving_channel_summary.csv,Chapter 3/data/powerbi/chapter3_channel_summary.csv,Page 3,Channel by comparison group,39,17,f4f74a6e29b2cd35197bb56a9cb4fa785c1e3a08accee5a20452d7c6056965ce
page3_channel_by_health_value.csv,Chapter 3/data/powerbi/chapter3_channel_by_health_value.csv,Page 3,Health value segment by channel,65,12,fda6ad9c90a27ae13a9b9d3e5f38a17d78b20d0015c685ee5889bbfbcf19bf18
page3_giving_behaviour_summary.csv,Chapter 3/data/powerbi/chapter3_behaviour_summary.csv,Page 3,Giving behaviour response distribution,36,10,59f0375731033849accfa5dde83c96ec301b4d99018324edf37bf55a4aeb7d62
page4_motivation_summary.csv,Chapter 4/data/powerbi/chapter4_motivation_summary.csv,Page 4,Motivation by comparison group,24,12,14dae1867096fe7afcac35065084de720e705ae59bb9d8a46b82206eff1b6b41
page4_motivation_by_age.csv,Chapter 4/data/powerbi/chapter4_motivation_by_age.csv,Page 4,Health donor age segment by motivation,56,12,e78aec39e77954321cab7725be64fa59cbd64ab4f79bd261da741b6e070ab678
page4_motivation_by_health_value.csv,Chapter 4/data/powerbi/chapter4_motivation_by_health_value.csv,Page 4,Health value segment by motivation,40,12,7491305c1f716c58096c64ff4b5d6a215722e9c46d18a23d39ff00a90a46571b
page5_barrier_summary.csv,Chapter 5/data/powerbi/chapter5_barrier_summary.csv,Page 5,Barrier by comparison group,66,14,85a76bcd39a5153d5ac3de62d2101f8ae0c99a6f9317e25dc6f29845e39250f2
page5_barrier_category_summary.csv,Chapter 5/data/powerbi/chapter5_barrier_category_summary.csv,Page 5,Barrier category by comparison group,27,5,845f8dbe05f73068e5a26b6da52cf20467d9e264f00aaee1f647b8cf34b57752
page5_barriers_by_income.csv,Chapter 5/data/powerbi/chapter5_barriers_by_personal_income.csv,Page 5,Health donor income segment by barrier,72,13,a6244916d926d6a745fd0f4a9811845ca4312ecdb063624a26e33ee02e24b5fc
page6_priority_audiences.csv,Chapter 6/data/powerbi/chapter6_priority_audiences.csv,Page 6,Priority audience,5,11,25a52cc964a7f0a1ff4e461fae8218eb3c398187a86eb84f660e368860db3f7e
page6_evidence_table.csv,Chapter 6/data/powerbi/chapter6_evidence_table.csv,Page 6,Evidence metric rows,20,5,4a7d4bc68681336a71d6859bef93a9e93cc19b2d07fecf901e533de89cfa139b
page7_bonus_model_metrics.csv,Bonus - Health Donor Propensity/data/powerbi/bonus_model_metrics.csv,Page 7,Model metric rows,1,14,f2efbe68de3ea2f99638eed12130cb032a556029a6b0a95b2d5e4ef2e3e9301f
page7_bonus_top_model_coefficients.csv,Bonus - Health Donor Propensity/data/powerbi/bonus_top_model_coefficients.csv,Page 7,Model feature coefficient rows,30,4,36ac1642b34207e55948fdb05b6f5eaf4d8216672dd7da74ed8e6af3d987f955
